post_id,user_id,text,label,post_length,avg_sentiment,num_likes,num_shares,num_reports,user_posts,user_friends,response_time,toxicity_score
p0001,u101,Wishing you all the best in your exams.,non-bullying,8,0.47,69,20,0,169,326,3.82,0.12
p0002,u102,"You’re a joke, nobody cares about you.",bullying,7,-0.99,5,1,4,439,107,3.96,0.88
p0003,u103,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.5,84,8,0,172,310,0.74,0.03
p0004,u104,"Just disappear, nobody will miss you.",bullying,6,-0.76,5,2,1,180,23,4.03,0.99
p0005,u105,Wishing you all the best in your exams.,non-bullying,8,0.35,38,13,0,484,761,1.36,0.18
p0006,u106,"You’re such a loser, nobody likes you.",bullying,7,-0.5,2,1,2,348,59,0.38,0.81
p0007,u107,"Great job on your project, well done!",non-bullying,7,0.99,96,3,0,307,845,0.63,0.14
p0008,u108,"You're annoying, everyone hates you.",bullying,5,-0.74,9,1,3,487,725,1.23,0.96
p0009,u109,Thanks for helping me yesterday!,non-bullying,5,0.31,88,19,0,435,121,2.66,0.14
p0010,u110,"You’re a joke, nobody cares about you.",bullying,7,-0.54,0,2,3,480,993,1.8,0.83
p0011,u111,"Nice work team, proud of you!",non-bullying,6,0.66,38,10,0,63,191,0.94,0.24
p0012,u112,You're ugly and worthless.,bullying,4,-0.91,10,2,1,412,705,2.57,0.87
p0013,u113,Congrats on your success! Keep shining.,non-bullying,6,0.89,13,12,0,425,809,2.23,0.02
p0014,u114,"You’re a joke, nobody cares about you.",bullying,7,-0.74,7,1,5,261,913,2.08,0.89
p0015,u115,Congrats on your success! Keep shining.,non-bullying,6,0.66,71,0,0,401,146,0.42,0.16
p0016,u116,Why are you always so dumb?,bullying,6,-0.57,4,0,5,104,199,2.41,0.92
p0017,u117,"Great job on your project, well done!",non-bullying,7,0.43,95,14,0,396,206,1.38,0.3
p0018,u118,"Just disappear, nobody will miss you.",bullying,6,-0.85,3,0,3,155,569,4.68,0.84
p0019,u119,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.94,80,11,0,95,154,4.22,0.16
p0020,u120,Nobody wants to be around you.,bullying,6,-0.6,1,2,2,343,241,2.22,0.93
p0021,u121,Congrats on your success! Keep shining.,non-bullying,6,0.58,29,1,0,317,370,3.13,0.14
p0022,u122,"You're annoying, everyone hates you.",bullying,5,-0.95,9,2,2,163,197,1.58,0.77
p0023,u123,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.64,19,0,0,329,406,0.97,0.07
p0024,u124,You're nothing but a failure.,bullying,5,-0.9,6,1,5,374,639,1.96,0.72
p0025,u125,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.81,86,16,0,151,895,3.27,0.28
p0026,u126,"Nobody respects you, just stop.",bullying,5,-0.82,7,2,1,483,594,3.94,0.81
p0027,u127,"Nice work team, proud of you!",non-bullying,6,0.66,8,19,0,76,300,3.59,0.04
p0028,u128,"You’re such a loser, nobody likes you.",bullying,7,-0.54,1,2,5,149,265,1.75,0.88
p0029,u129,"That was an amazing performance, bravo!",non-bullying,6,0.6,80,13,0,310,860,2.03,0.3
p0030,u130,"Pathetic, you should just quit.",bullying,5,-0.94,0,0,4,468,992,2.83,0.77
p0031,u131,You are really talented and hardworking.,non-bullying,6,0.37,68,9,0,395,685,2.9,0.16
p0032,u132,You're nothing but a failure.,bullying,5,-0.62,2,1,4,206,538,2.93,0.91
p0033,u133,Congrats on your success! Keep shining.,non-bullying,6,0.38,67,10,0,57,762,4.84,0.08
p0034,u134,Nobody wants to be around you.,bullying,6,-0.99,5,0,1,238,168,4.25,0.79
p0035,u135,Wishing you all the best in your exams.,non-bullying,8,0.77,44,17,0,139,190,4.34,0.04
p0036,u136,"You're annoying, everyone hates you.",bullying,5,-0.96,0,1,3,275,868,0.35,0.87
p0037,u137,"That was an amazing performance, bravo!",non-bullying,6,0.85,52,10,0,305,437,3.19,0.23
p0038,u138,"Just disappear, nobody will miss you.",bullying,6,-0.72,2,1,2,463,933,4.29,0.82
